Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Oxalis violacea,,"purple woodsorrel, violet wood-sorrel, violet woodsorrel",Oxalidaceae,Oxalis,violacea,29098,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxydendrum arboreum,sourwood,sourwood,Ericaceae,Oxydendrum,arboreum,23690,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Oxypolis rigidior,stiff cowbane,stiff cowbane,Apiaceae,Oxypolis,rigidior,29544,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Pachysandra procumbens,,Allegheny-spurge,Buxaceae,Pachysandra,procumbens,28027,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Pachysandra terminalis,,Japanese pachysandra,Buxaceae,Pachysandra,terminalis,504090,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Packera anonyma,Small's ragwort,Small's ragwort,Asteraceae,Packera,anonyma,518137,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Packera antennariifolia,,shalebarren ragwort,Asteraceae,Packera,antennariifolia,518138,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Packera aurea,golden ragwort,golden ragwort,Asteraceae,Packera,aurea,518139,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Packera glabella,butterweed,butterweed,Asteraceae,Packera,glabella,565358,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Packera obovata,roundleaf ragwort,roundleaf ragwort,Asteraceae,Packera,obovata,565368,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Packera paupercula,balsam groundsel,balsam groundsel,Asteraceae,Packera,paupercula,518155,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Packera plattensis,prairie groundsel,prairie groundsel,Asteraceae,Packera,plattensis,565369,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Paeonia lactiflora,,Chinese peony,Paeoniaceae,Paeonia,lactiflora,504091,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Panax quinquefolius,,"American ginseng, american ginseng, ginseng ? cinq folioles",Araliaceae,Panax,quinquefolius,29399,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panax trifolius,,dwarf ginseng,Araliaceae,Panax,trifolius,29400,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum acuminatum,,,Poaceae,Panicum,acuminatum,518203,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum agrostoides,,,Poaceae,Panicum,agrostoides,40902,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum anceps,beaked panicgrass,"beaked panicgrass, beaked panicum",Poaceae,Panicum,anceps,40904,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum ashei,,,Poaceae,Panicum,ashei,518218,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum barbulatum,,,Poaceae,Panicum,barbulatum,518223,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum bicknellii,,,Poaceae,Panicum,bicknellii,518226,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum boscii,,,Poaceae,Panicum,boscii,518228,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum capillare,witchgrass,"annual witchgrass, common panic grass, common witchgrass, panicgrass, ticklegrass, tumble panic, tumbleweed grass, witches hair,",Poaceae,Panicum,capillare,40914,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum clandestinum,,,Poaceae,Panicum,clandestinum,40905,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum commutatum,,,Poaceae,Panicum,commutatum,518242,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum depauperatum,,,Poaceae,Panicum,depauperatum,518257,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum dichotomiflorum,fall panicgrass,"fall panic, fall panicgrass, fall panicum, western witchgrass",Poaceae,Panicum,dichotomiflorum,40908,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum dichotomum,,,Poaceae,Panicum,dichotomum,518258,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum flexile,wiry panicgrass,"wiry panic grass, wiry panicgrass, wiry witch grass",Poaceae,Panicum,flexile,40918,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum gattingeri,Gattinger's panicgrass,Gattinger's panicgrass,Poaceae,Panicum,gattingeri,40933,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum lanuginosum,,,Poaceae,Panicum,lanuginosum,40910,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum latifolium,,,Poaceae,Panicum,latifolium,518305,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum laxiflorum,,,Poaceae,Panicum,laxiflorum,518306,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum lindheimeri,,,Poaceae,Panicum,lindheimeri,518310,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum linearifolium,,,Poaceae,Panicum,linearifolium,518311,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum microcarpon,,,Poaceae,Panicum,microcarpon,565866,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum microcarpon,,,Poaceae,Panicum,microcarpon,40911,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Panicum oligosanthes,,,Poaceae,Panicum,oligosanthes,40912,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
