Plot_Name,Event_Date,Event_Date_Txt,Event_Year,Unit_Code,Unit_Group,Subunit_Code,Protocol_Name,Panel,Frame,Cycle,Event_ID,numSeedPlots
MANA-0229,5/1/2015 0:00,20150501,2015,MANA,MANA,na,2.2,2,Region,3,{A3A7A0E3-ADBC-4752-A92C-306B5D2AE639},12
MANA-0240,6/11/2012 0:00,20120611,2012,MANA,MANA,na,2.0.1,3,Region,2,{2D1E22D8-10AC-4664-9136-3B1C2E9339E6},12
MANA-0240,4/27/2016 0:00,20160427,2016,MANA,MANA,na,2.2,3,Region,3,{48D399CA-5E18-4266-A942-94FD3E47C9D1},12
MANA-0240,8/5/2008 9:10,20080805,2008,MANA,MANA,na,1,3,Region,1,{27DC794B-BC9B-4679-BA9E-538F75DEF46A},12
MANA-0243,5/28/2013 0:00,20130528,2013,MANA,MANA,na,2.0.1,4,Region,2,{F0126E60-47FE-41B5-9E53-C98BE394AC6F},12
MANA-0243,5/1/2017 0:00,20170501,2017,MANA,MANA,na,2.3,4,Region,3,{C2BB849A-064C-44DC-B6A9-39AD4153A6F9},12
MANA-0243,6/19/2009 9:19,20090619,2009,MANA,MANA,na,2,4,Region,1,{18790557-92FE-405E-A646-74F50B664A03},12
MANA-0253,5/24/2018 0:00,20180524,2018,MANA,MANA,na,2.3,1,Region,4,{B6ECFBB8-488C-49A7-ADFE-EA38C84D25E8},12
MANA-0253,6/3/2010 9:42,20100603,2010,MANA,MANA,na,2.0.1,1,Region,2,{21DA4C2A-1D1C-4981-8F8D-3F742D9CE7AB},12
MANA-0253,7/5/2006 0:00,20060705,2006,MANA,MANA,na,1,1,Region,1,{3B389C44-491D-44B3-A92D-355027695832},12
MANA-0253,5/27/2014 0:00,20140527,2014,MANA,MANA,na,2.1,1,Region,3,{EEA25920-5B9B-4746-BC06-3FD731EAA6F4},12
MONO-0026,8/26/2010 9:47,20100826,2010,MONO,MONO,na,2.0.1,1,Park,2,{022F9162-6112-483F-9385-E07C966357BE},12
MONO-0026,7/13/2018 0:00,20180713,2018,MONO,MONO,na,2.3,1,Park,4,{D054DB94-0FB2-4F27-B7CE-E97255934257},12
MONO-0026,7/30/2014 0:00,20140730,2014,MONO,MONO,na,2.1,1,Park,3,{E061F14C-9502-4B50-95B6-B62C6EBCFFFB},12
MONO-0038,7/6/2015 0:00,20150706,2015,MONO,MONO,na,2.2,2,Park,3,{4146FB25-3D6F-48AA-BC06-B1D23D081A72},12
MONO-0038,5/30/2019 12:07,20190530,2019,MONO,MONO,na,,2,Park,4,20190503074125-790480017.662048,12
MONO-0038,6/6/2011 9:34,20110606,2011,MONO,MONO,na,2.0.1,2,Park,2,{6EAF770F-4A3F-4968-AC68-2AB23B4EE850},12
MONO-0039,5/23/2016 0:00,20160523,2016,MONO,MONO,na,2.2,3,Park,3,{E42DDF7D-784B-4091-B636-B2CEE86C3801},12
MONO-0039,7/5/2012 0:00,20120705,2012,MONO,MONO,na,2.0.1,3,Park,2,{9F3AF686-C565-4C8B-ABB9-88ED54478564},12
MONO-0044,9/2/2010 12:49,20100902,2010,MONO,MONO,na,2.0.1,1,Region,2,{547FA9DB-2AA5-4057-B9BB-A2621B8B0B20},12
MONO-0044,7/21/2006 0:00,20060721,2006,MONO,MONO,na,1,1,Region,1,{900893B8-3FE5-4EDA-8DC9-67A0997A140B},12
MONO-0044,8/14/2014 0:00,20140814,2014,MONO,MONO,na,2.1,1,Region,3,{BD663F1D-2253-4D72-A5A7-6F5B8B555638},12
MONO-0044,5/30/2018 0:00,20180530,2018,MONO,MONO,na,2.3,1,Region,4,{964C4DB7-6CE2-4845-B5F3-D86B2BC4AE45},12
MONO-0052,7/5/2012 0:00,20120705,2012,MONO,MONO,na,2.0.1,3,Park,2,{2266EF43-3720-4C14-80A9-97953CAFB6CF},12
MONO-0052,5/17/2016 0:00,20160517,2016,MONO,MONO,na,2.2,3,Park,3,{2CACD8C2-5F3E-4CE1-AC88-84301AACDDB9},12
MONO-0056,7/22/2014 0:00,20140722,2014,MONO,MONO,na,2.1,1,Park,3,{559E5B74-ED9F-40FA-9626-BD57A9880BD9},12
MONO-0056,7/20/2010 11:43,20100720,2010,MONO,MONO,na,2.0.1,1,Park,2,{6ECEEDCF-FB5B-49DC-AFEE-DCBF7B0AAC48},12
MONO-0056,7/10/2018 0:00,20180710,2018,MONO,MONO,na,2.3,1,Park,4,{963435B8-24FA-43C5-A50D-AE394643FB1B},12
MONO-0061,5/29/2012 0:00,20120529,2012,MONO,MONO,na,2.0.1,3,Park,2,{294D0429-A7CD-47B8-9A5F-55A858994E12},12
MONO-0061,5/17/2016 0:00,20160517,2016,MONO,MONO,na,2.2,3,Park,3,{D9836E09-F32F-49A2-9652-16A738606FA3},12
